,,Dev Info,,,,,Other DevInfo sources,,,,G-Econ,,,DHS (Equity),,,MICS (Equity),,,National Statistics Institute,,,,SEDAC / CIESIN,,,,OECD,,,,OPHI,,,,HarvestChoice,,,,NBER,,,,DHS (Open Aid Partnership),,,,DHS,,,
Dominica,111,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DominicaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/kmnim1jeh3av5026hh0dvv2db5khvnk0/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbdUJEQXlSSXEtdGM?h=07874974558453865051&e=download, ",,,,,
Dominican Rep.,337,no DevInfo,,,,,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,DOM_sae_csv.csv,http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download,n/a,https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"DomRep2007.csv
DominicanPopADM1.xlsx
DomRep-pov-ADM1.xls","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbMlJpUWdQUnVfWTA&usp=sharing
https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-0o-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/g6pjlnho361lrl05a5sldemo6h0m0a21/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbZkhoYWNzaXNxOTQ?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbMlJpUWdQUnVfWTA&usp=sharing
https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/24thnog8073ebg7hrt8v3nhat9t107at/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbRlk0aUVJeUxHNUE?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0g-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/onqblctoj9tanq1vdaofrtugeb7494h8/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbQWZXVktZQU5CWDA?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Ecuador,367,no DevInfo,,,,,,,,,,,,,,,,,,,,,,"ECU_sae_csv.csv
EcuadorCaseStudy.csv
imr_highres.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download

http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download","n/a

http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,EcuadorPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/5folcv94iehboiim8k42cldfvvlk6t5c/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbWWlaSGhqRHFhQ1E?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Egypt,486,English,CensusInfo Egypt_2011_en.csv,http://www.devinfo.org/censusinfo_egypt/libraries/aspx/Home.aspx,http://www.devinfo.org/censusinfo_egypt/stock/data/CSV_DataFiles/CensusInfo%20Egypt_2011_en.zip,http://www.devinfo.org/articles/news,EDHSInfo_2012_en 2.csv,http://www.devinfo.org/edhsinfo/libraries/aspx/Home.aspx,http://www.devinfo.org/edhsinfo/stock/data/CSV_DataFiles/EDHSInfo_2012_en.zip,,Egypt_calc_xi_101010.xls,http://gecon.yale.edu/egypt,http://gecon.yale.edu/sites/default/files/Egypt_calc_xi_101010.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Egypt2008.csv
Egypt-pov-ADM1-updated.xls
EgyptPopADM1","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbMlJpUWdQUnVfWTA&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing
https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing","https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/t4j3qli9ou6ea77v4u9lpdp1c5pmg4g3/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbczV0VnQ0OG9IWU0?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbMlJpUWdQUnVfWTA&usp=sharing
https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/b7n7agc0fn4ha4qj26999fgmag4aiosa/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbTGFZSkFJeW5oMG8?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/a5lbjr7alqlion80ig36lujd4ff766dt/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbaFNMR2g5UG9wMXc?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
El Salvador,302,no DevInfo,,,,,,,,,,,,,,,,,,,,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,ElSalvadorPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-0k-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/5u1p5aev6vsnsdjqq55t8o10qm1tbeuo/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbRTNKZVJiOTRTaTg?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Equatorial Guinea,147,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EquGuineaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-0s-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/d6kh4c29s50j3fd8vkmb7aiqmmnr61m0/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbZEhRNXZPSFNQTUk?h=07874974558453865051&e=download, ",,,,,
Eritrea,373,no DevInfo,,,,,,,,,,,,,,,,,,,,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,,,,,EritreaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/5ssg374prsmej7eedjbkgd2dtibvn280/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbN1Q0bXBnMDdqa0k?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Estonia,149,no DevInfo,,,,,,,,,Estonia_Calc_Da_092405.xls,http://gecon.yale.edu/estonia,http://gecon.yale.edu/sites/default/files/Estonia_Calc_Da_092405.xls,,,,,,,,http://www.stat.ee/en,,,,,,,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,,,,,,,,
Ethiopia,563,English,EthioInfo_2012_en.csv,http://www.devinfo.org/ethioinfo/libraries/aspx/Home.aspx,http://www.devinfo.org/ethioinfo/stock/data/CSV_DataFiles/EthioInfo_2012_en.zip,http://www.devinfo.org/articles/news,AmharaInfo_2012_en.csv,http://www.devinfo.org/amharainfo/libraries/aspx/Home.aspx,http://www.devinfo.org/amharainfo/stock/data/CSV_DataFiles/AmharaInfo_2012_en.zip,,Ethiopia_Calc_MM_051505.xls,http://gecon.yale.edu/ethiopia,http://gecon.yale.edu/sites/default/files/Ethiopia_Calc_MM_051505.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,http://www.csa.gov.et/,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,,,,,EthiopiaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-0o-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/qq5p5ljkbjcv3jcio7a377p330kivpp8/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbZmwxdHc0Q1ZRUDA?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Fiji,219,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FijiPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-04-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/08m5l4vmv4j9l17lg8hhbjumimcgv370/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbcVltd0lpakpqdGM?h=07874974558453865051&e=download, ",,,,,
Finland,205,no DevInfo,,,,,,,,,Europe_cal_xi_101309.xls,http://gecon.yale.edu/finland,http://gecon.yale.edu/sites/default/files/Europe_cal_xi_101309_6.xls,,,,,,,,http://tilastokeskus.fi/index_en.html,,,,,,,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,,,,,,,,
France,396,no DevInfo,,,,,,,,,Europe_cal_xi_101309.xls,http://gecon.yale.edu/france,http://gecon.yale.edu/sites/default/files/Europe_cal_xi_101309_7.xls,,,,,,,,,,,,,,,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,,,,,,,,
Gabon,168,no DevInfo,,,,,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,,,,,,,,,,,,,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,Gabon2000.csv,https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbMlJpUWdQUnVfWTA&usp=sharing,"https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/a1n33hi9n7jebj10p3f17ifd5o44ccke/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbbVZQNU1MSzBDMjQ?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbMlJpUWdQUnVfWTA&usp=sharing",,,http://spatialdata.measuredhs.com/data.html,,
Gambia,298,English,GAMINFO_2012_en.csv,http://www.devinfo.org/gaminfo/libraries/aspx/Home.aspx,http://www.devinfo.org/gaminfo/stock/data/CSV_DataFiles/GAMINFO_2012_en.zip,http://www.devinfo.org/articles/news,,,,,,,,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,,,,,GambiaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-08-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/6s2cki0h9r3d397s2f1s82hr4v65fr4o/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbZ3Y0NDBOc0ZtYUU?h=07874974558453865051&e=download, ",,,,,
Georgia,279,no DevInfo,,,,,,,,,,,,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,http://geostat.ge/index.php?action=0&lang=eng,,http://www.instat.gov.al/en/publications/press-releases.aspx,hunger_data.csv,http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download,http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip,https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Georgia-pov-ADM1-2009.xls
GeorgiaPopADM1.xlsx",https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing,"https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/difj086p0is7enj3hmdjhun4s1h5uhij/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbYnRXY0xiWlpybG8?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/lpgjgu7cagg4ipi9bnfo097415vq9dgq/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbWlpKX2VzRlJCcFU?h=07874974558453865051&e=download, ",,,,,
Germany,398,no DevInfo,,,,,,,,,Europe_cal_xi_101309.xls,http://gecon.yale.edu/germany,http://gecon.yale.edu/sites/default/files/Europe_cal_xi_101309_3.xls,,,,,,,,,,,,,,,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,,,,,,,,
Ghana,473,English,GhanaInfo_2011_en 2.csv,http://www.devinfo.org/ghanainfo/libraries/aspx/Home.aspx,http://www.devinfo.org/ghanainfo/stock/data/CSV_DataFiles/GhanaInfo_2011_en.zip,http://www.devinfo.org/articles/news,,,,,Ghana_Calc_MM_051705.xls,http://gecon.yale.edu/ghana,http://gecon.yale.edu/sites/default/files/Ghana_Calc_MM_051705.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,GhanaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-0o-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/d0ojkni33sdrftfkk6lna36p2jml983c/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbdjBTUy16eUtBdHc?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Greece,303,no DevInfo,,,,,,,,,Europe_cal_xi_101309.xls,http://gecon.yale.edu/greece,http://gecon.yale.edu/sites/default/files/Europe_cal_xi_101309_8.xls,,,,,,,,,,,,,,,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,,,,,,,,
Grenada,133,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GrenadaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-08-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/3v74f36ech5qjg88fv4datidcem18soi/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbOEwtNnhsVVVOYm8?h=07874974558453865051&e=download, ",,,,,
Guatemala,387,no DevInfo,,,,,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,http://www.ine.gob.gt/np/,,https://twitter.com/INE_GT,GTM_sae_csv.csv,http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download,n/a,https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,GuatemalaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-0k-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/n2rdbbeto65dat0reg32dblr7960o018/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbWklZTkc3SGF1Vms?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
